Index,Model,Percentile,Region,Scenario,TimeAggregate,Year
2,5,10,5,rcp45,DJF,2099
2,5,10,5,rcp45,DJF,2100
2,5,5,5,rcp45,DJF,1981
2,5,5,5,rcp45,DJF,2009
2,5,5,5,rcp45,DJF,2025
2,5,5,5,rcp45,DJF,2039
2,5,5,5,rcp45,DJF,2040
2,5,5,5,rcp45,DJF,2043
2,5,5,5,rcp45,DJF,2050
2,5,5,5,rcp45,DJF,2053
2,5,5,5,rcp45,DJF,2055
2,5,5,5,rcp45,DJF,2058
2,5,5,5,rcp45,DJF,2063
2,5,5,5,rcp45,DJF,2067
2,5,5,5,rcp45,DJF,2074
2,5,5,5,rcp45,DJF,2077
2,5,5,5,rcp45,DJF,2078
2,5,5,5,rcp45,DJF,2083
2,5,5,5,rcp45,DJF,2087
2,5,5,5,rcp45,DJF,2089
2,5,5,5,rcp45,DJF,2090
2,5,5,5,rcp45,DJF,2095
2,5,5,5,rcp45,DJF,2096
2,5,5,5,rcp45,DJF,2099
2,5,5,5,rcp45,DJF,2100
2,6,90,5,rcp45,DJF,1975
2,6,90,5,rcp45,DJF,1985
2,6,90,5,rcp45,DJF,2001
2,6,90,5,rcp45,DJF,2005
2,6,90,5,rcp45,DJF,2010
2,6,90,5,rcp45,DJF,2027
2,6,90,5,rcp45,DJF,2062
2,6,95,5,rcp45,DJF,1975
2,6,95,5,rcp45,DJF,1985
2,6,95,5,rcp45,DJF,2001
2,6,95,5,rcp45,DJF,2005
2,6,95,5,rcp45,DJF,2010
2,6,95,5,rcp45,DJF,2062
2,6,10,5,rcp45,DJF,1981
2,6,10,5,rcp45,DJF,1998
2,6,10,5,rcp45,DJF,2007
2,6,10,5,rcp45,DJF,2009
2,6,10,5,rcp45,DJF,2012
2,6,10,5,rcp45,DJF,2017
2,6,10,5,rcp45,DJF,2020
2,6,10,5,rcp45,DJF,2025
2,6,10,5,rcp45,DJF,2029
2,6,10,5,rcp45,DJF,2030
2,6,10,5,rcp45,DJF,2034
2,6,10,5,rcp45,DJF,2035
2,6,10,5,rcp45,DJF,2039
2,6,10,5,rcp45,DJF,2040
2,6,10,5,rcp45,DJF,2043
2,6,10,5,rcp45,DJF,2045
2,6,10,5,rcp45,DJF,2046
2,6,10,5,rcp45,DJF,2048
2,6,10,5,rcp45,DJF,2050
2,6,10,5,rcp45,DJF,2053
2,6,10,5,rcp45,DJF,2055
2,6,10,5,rcp45,DJF,2057
2,6,10,5,rcp45,DJF,2058
2,6,10,5,rcp45,DJF,2063
2,6,10,5,rcp45,DJF,2066
2,6,10,5,rcp45,DJF,2067
2,6,10,5,rcp45,DJF,2070
2,6,10,5,rcp45,DJF,2071
2,6,10,5,rcp45,DJF,2074
2,6,10,5,rcp45,DJF,2075
2,6,10,5,rcp45,DJF,2076
2,6,10,5,rcp45,DJF,2078
2,6,10,5,rcp45,DJF,2083
2,6,10,5,rcp45,DJF,2089
2,6,10,5,rcp45,DJF,2090
2,6,10,5,rcp45,DJF,2091
2,6,10,5,rcp45,DJF,2092
2,6,10,5,rcp45,DJF,2093
2,6,10,5,rcp45,DJF,2095
2,6,10,5,rcp45,DJF,2097
2,6,10,5,rcp45,DJF,2099
2,6,10,5,rcp45,DJF,2100
2,6,5,5,rcp45,DJF,1981
2,6,5,5,rcp45,DJF,2009
2,6,5,5,rcp45,DJF,2025
2,6,5,5,rcp45,DJF,2039
2,6,5,5,rcp45,DJF,2040
2,6,5,5,rcp45,DJF,2046
2,6,5,5,rcp45,DJF,2048
2,6,5,5,rcp45,DJF,2050
2,6,5,5,rcp45,DJF,2053
2,6,5,5,rcp45,DJF,2058
2,6,5,5,rcp45,DJF,2063
2,6,5,5,rcp45,DJF,2067
2,6,5,5,rcp45,DJF,2071
2,6,5,5,rcp45,DJF,2076
2,6,5,5,rcp45,DJF,2078
2,6,5,5,rcp45,DJF,2083
2,6,5,5,rcp45,DJF,2089
2,6,5,5,rcp45,DJF,2090
2,6,5,5,rcp45,DJF,2091
2,6,5,5,rcp45,DJF,2095
2,6,5,5,rcp45,DJF,2099
2,6,5,5,rcp45,DJF,2100
2,7,90,5,rcp45,DJF,1974
2,7,90,5,rcp45,DJF,1998
2,7,90,5,rcp45,DJF,2019
2,7,90,5,rcp45,DJF,2032
2,7,95,5,rcp45,DJF,1974
2,7,95,5,rcp45,DJF,1998
2,7,95,5,rcp45,DJF,2019
2,7,95,5,rcp45,DJF,2032
2,7,10,5,rcp45,DJF,1989
2,7,10,5,rcp45,DJF,1992
2,7,10,5,rcp45,DJF,2003
2,7,10,5,rcp45,DJF,2005
2,7,10,5,rcp45,DJF,2006
2,7,10,5,rcp45,DJF,2012
2,7,10,5,rcp45,DJF,2023
