Index,Model,Percentile,Region,Scenario,Season,Value,Year
10,5,10,14,rcp45,DJF,-0.188034820557,2004
10,5,10,14,rcp45,DJF,-0.309829521179,2005
10,5,10,14,rcp45,DJF,-3.21367530823,2007
10,5,10,14,rcp45,DJF,-0.337607192993,2016
10,5,10,14,rcp45,DJF,-1.74145298004,2020
10,5,10,14,rcp45,DJF,-0.386751937866,2021
10,5,10,14,rcp45,DJF,-2.03846149445,2024
10,5,10,14,rcp45,DJF,-0.758547592163,2026
10,5,10,14,rcp45,DJF,-0.322649765015,2031
10,5,10,14,rcp45,DJF,-0.252136993408,2033
10,5,10,14,rcp45,DJF,-0.485043334961,2034
10,5,10,14,rcp45,DJF,-1.18589763641,2036
10,5,10,14,rcp45,DJF,-2.26923112869,2039
10,5,10,14,rcp45,DJF,-0.269230651855,2044
10,5,10,14,rcp45,DJF,-1.73290615082,2045
10,5,10,14,rcp45,DJF,-2.1581199646,2046
10,5,10,14,rcp45,DJF,-3.71581201553,2047
10,5,10,14,rcp45,DJF,-3.99145298004,2053
